user_id,track_id
545127,242578
545127,242579
545127,242580
545127,242581
545127,242583
545127,242585
545127,242586
545127,242587
545127,242590
545127,242592
545127,242606
545127,461103
545127,461104
545127,461121
545127,461134
545127,461142
545127,461155
545127,461158
545127,461159
545127,461161
545127,461165
545127,461174
545127,461827
545127,461828
545127,461847
545127,461852
545127,461854
545127,461877
545127,461878
545127,461880
545127,461882
545127,462080
545127,462085
545127,462238
545127,462359
545127,462364
545127,462376
545127,462392
545127,743325
545127,743326
545127,743327
545127,743328
545127,743329
545127,743330
545127,743331
545127,743332
545127,743334
545127,743335
545127,743337
545127,743338
545127,761822
545127,761823
545127,761824
545127,761825
545127,761826
545127,761827
545127,761828
545127,761831
545127,761834
545127,761837
545127,766551
545127,766552
545127,766554
545127,766555
545127,766556
545127,766557
545127,766558
545127,766559
545127,766560
545127,766561
545127,766562
545127,766563
545127,804827
545127,804828
545127,804831
545127,804832
545127,804833
545127,804834
545127,804835
545127,804836
545127,804837
545127,804839
545127,804840
545127,807748
545127,807749
545127,807750
545127,807751
545127,807752
545127,807753
545127,807754
545127,807760
545127,807761
545127,807763
545127,807764
545127,807765
545127,807942
545127,807945
545127,807946
545127,807947
545127,807948
545127,807949
545127,807950
545127,807951
545127,807952
545127,852234
545127,852235
545127,852236
545127,852237
545127,852238
545127,852239
545127,852240
545127,919144
4018357,125674
4018357,407064
4018357,710704
4018357,761498
4018357,894466
4018357,1127440
4006097,398175
4006097,1118117
4006097,1118118
4006097,1118119
4006097,1118120
4006097,1118121
4006097,1118122
4006097,1118124
4006097,1118125
4006097,1118126
4006097,1118127
4006097,1118128
4006097,1118129
4006097,1118130
4006097,1118131
4006097,1118132
4006097,1118133
4006097,1118134
4006097,1118135
4006097,1118136
4006097,1118137
4006097,1118138
4006097,1118139
4006097,1118140
4006097,1118141
3557828,625687
3557828,626398
3557828,761603
3557828,785424
3557828,970482
3557828,1063106
3557828,1081801
3457621,423114
3457621,478683
3457621,890078
3457621,925622
3457621,925630
3457621,1002174
3457621,1009345
3457621,1058450
3457621,1058451
3457621,1073219
3457621,1073220
3457621,1082103
3457621,1084190
3457621,1090466
3457621,1090471
3457621,1125771
